年月日,Data Field,1101 台泥,1102 亞泥,1216 統一,1301 台塑,1303 南亞,1326 台化,1402 遠東新,2002 中鋼,2105 正新,2801 彰銀,2823 中壽,2880 華南金,2881 富邦金,2882 國泰金,2883 開發金,2884 玉山金,2885 元大金,2886 兆豐金,2887 台新金,2890 永豐金,2891 中信金,2892 第一金,5880 合庫金,5871 中租-KY,9904 寶成,6505 台塑化,2303 聯電,2330 台積電,2408 南亞科,2454 聯發科,2301 光寶科,2357 華碩,2382 廣達,2395 研華,4938 和碩,2409 友達,3008 大立光,3481 群創,2412 中華電,3045 台灣大,4904 遠傳,2308 台達電,2317 鴻海,2354 鴻準,2474 可成
2016/9/29,收盤價(元),30.87,26.36,54.45,71,55.45,75.99,22.17,20.84,61.4,14.32,24.14,13.88,42.93,37.32,7.23,14.78,10.48,19.96,10.09,8.17,15.44,14.75,12.09,51.22,40.89,86.34,10.79,173.2,37.78,226.53,41.27,252.13,60.41,236.06,73.22,9.84,3739.27,9.91,102.35,102.01,67.55,156.44,90.95,84,242.9
2016/9/30,收盤價(元),30.06,25.8,52.74,70.19,55.01,75.01,21.89,20.6,60.39,14.01,23.6,13.67,42.47,36.77,7.15,14.62,10.39,19.69,9.92,8.07,15.23,14.57,11.96,50.58,40.16,84.81,10.7,170.4,36.62,222.81,39.27,248.13,58.62,230.07,72.14,9.8,3676.05,9.81,100.97,101.55,67.09,154.59,90.04,84.18,238.68
2016/10/3,收盤價(元),30.15,25.89,54.27,70.55,54.57,75.81,21.94,20.79,60.85,14.06,23.68,13.71,42.24,36.72,7.11,14.82,10.44,19.6,9.92,8.05,15.35,14.57,11.96,50.31,40.34,86.43,10.74,173.67,36.8,224.21,39.7,251.69,59.25,230.93,73.13,10.36,3734.4,10.09,101.43,102.46,66.82,154.59,90.27,83.63,239.62
2016/10/4,收盤價(元),30.32,25.89,55.34,71.18,55.54,75.81,21.94,20.79,60.85,14.27,23.73,13.88,42.61,37.09,7.15,14.82,10.53,19.51,10,8.16,15.44,14.75,12.05,50.76,41.21,87.78,10.74,174.6,37.32,226.07,39.88,252.13,58.98,232.64,73.22,10.36,3802.48,10.05,102.35,102.01,66.91,155.51,90.61,85.28,245.72
2016/10/5,收盤價(元),30.7,26.08,55.43,70.82,55.36,75.63,21.94,20.51,61.12,14.23,23.6,13.88,42.47,36.77,7.15,14.82,10.48,19.51,10,8.13,15.39,14.71,12.05,50.76,41.21,87.15,10.74,173.67,37.6,229.79,39.97,251.69,59.52,225.8,73.31,10.44,3763.58,10.05,102.35,102.46,67.55,156.9,90.72,85.74,241.03
2016/10/6,收盤價(元),30.87,26.13,54.63,71.36,55.54,75.63,21.89,20.56,60.57,14.14,23.35,13.8,42.06,36.91,7.14,14.86,10.48,19.6,9.92,8.11,15.39,14.75,12.01,50.49,41.07,88.59,10.74,175.07,37.32,226.53,39.44,250.35,59.43,227.51,72.68,10.48,3700.37,10.18,102.8,101.55,67.46,155.98,91.41,85.65,232.12
2016/10/7,收盤價(元),30.91,26.13,54.98,71.72,55.9,76.17,22.03,20.51,61.12,14.06,23.11,13.67,41.55,36.81,7.15,14.86,10.48,19.51,9.96,8.13,15.31,14.66,11.92,50.31,40.25,88.14,10.65,175.54,37.27,224.21,39.75,247.69,59.88,226.23,72.32,10.23,3666.33,9.91,102.35,100.65,67.09,154.13,91.18,84.91,229.77
2016/10/11,收盤價(元),30.4,26.22,54.27,71.99,55.9,76.17,21.89,20.51,60.76,14.23,23.52,13.71,41.28,36.68,7.15,14.74,10.44,19.47,9.88,8.08,15.19,14.62,12.01,49.85,40.16,88.59,10.79,175.07,37.46,224.21,39.79,250.35,59.52,223.23,72.23,9.93,3578.8,9.72,102.35,100.65,68.18,152.74,92.43,85.92,230.71
2016/10/12,收盤價(元),30.4,25.89,53.55,72.08,56.07,77.24,21.8,20.32,59.75,14.23,23.73,13.71,42.01,37.27,7.19,14.74,10.48,19.51,9.88,8.06,15.68,14.53,12.01,49.85,39.93,88.23,10.7,176.94,37.55,223.28,39.57,250.35,59.25,224.51,73.58,9.97,3695.5,9.81,102.35,101.1,68,151.81,93,84.91,234.46
2016/10/13,收盤價(元),29.52,25.28,54.72,71.63,55.99,78.04,21.66,20.23,59.93,14.1,23.6,13.75,41.69,36.63,7.04,14.62,10.3,19.33,9.75,7.99,15.55,14.49,11.96,49.4,39.48,90.03,10.65,176,37.46,220.95,39.53,250.35,58.35,219.81,74.29,10.06,3627.43,9.72,102.35,101.55,68,152.27,93.23,83.45,232.59
2016/10/14,收盤價(元),30.23,25.42,53.64,71.9,55.99,78.04,21.94,20.32,59.02,14.01,23.4,13.63,41.92,36.4,7.03,14.62,10.44,19.33,9.66,7.98,15.41,14.4,11.88,48.85,39.61,89.94,10.79,175.54,36.67,220.02,38.7,248.13,57.63,220.24,73.04,9.89,3564.22,9.72,101.89,100.65,67.91,151.81,92.55,83.45,228.37
2016/10/17,收盤價(元),30.4,25.14,53.73,72.17,55.72,78.04,21.66,20.28,58.47,14.14,23.44,13.67,41.32,36.63,7.02,14.53,10.34,19.29,9.62,7.93,15.37,14.4,11.96,49.12,39.34,91.83,10.7,174.14,36.76,224.21,38.31,248.58,59.61,219.81,74.29,9.89,3593.39,9.68,102.8,100.2,68.09,152.27,93.35,84.36,228.84
2016/10/18,收盤價(元),30.7,25.42,54.63,72.62,56.43,79.19,22.08,20.51,58.74,14.19,23.81,13.75,41.83,37.13,7.08,14.74,10.48,19.47,9.66,8.03,15.37,14.44,11.96,49.76,40.21,91.38,10.79,174.6,36.8,223.28,39.14,248.58,59.16,219.81,74.2,10.01,3598.25,9.72,102.8,100.65,68.09,152.74,93.57,85.19,231.65
2016/10/19,收盤價(元),31.5,25.61,54.9,74.16,56.69,81.86,22.73,20.74,60.57,14.14,23.89,13.75,41.74,37.23,7.1,14.78,10.48,19.51,9.79,8.03,15.46,14.49,11.96,49.94,40.25,92.73,10.84,176.94,37.32,221.42,40.01,248.58,59.16,221.09,74.47,10.18,3607.98,9.81,101.89,100.2,68.09,155.51,93.92,87.57,234
2016/10/20,收盤價(元),31.12,25.38,54.54,76.68,57.67,82.75,22.92,20.79,60.11,14.19,23.6,13.75,41.41,37.09,7.1,14.74,10.85,19.51,9.75,8.04,15.55,14.49,12.01,49.58,39.93,94.53,10.79,177.87,37.74,219.56,39.57,250.35,58.26,218.96,74.11,10.23,3573.94,9.81,101.89,100.2,67.64,155.51,95.17,87.57,234.93
2016/10/21,收盤價(元),30.95,25.28,54.9,76.41,57.32,82.31,22.87,20.7,60.39,14.19,23.68,13.71,41.19,36.95,7.1,14.74,10.85,19.64,9.75,8.03,15.68,14.44,12.01,49.58,39.66,94.98,10.84,176,37.64,219.09,39.44,248.13,59.07,218.53,74.74,10.61,3607.98,10.09,102.35,100.65,67.91,153.66,96.08,88.4,234.46
2016/10/24,收盤價(元),31.2,25.47,54.72,75.87,57.23,82.31,22.69,20.79,60.39,14.1,23.89,13.71,41.14,36.91,7.14,14.7,10.85,19.47,9.71,8.01,15.5,14.44,12.01,49.85,39.75,92.73,10.79,178.34,38.2,221.42,39.92,249.02,58.53,217.24,74.56,10.91,3666.33,10.18,102.8,100.65,67.64,153.66,95.97,87.02,230.71
2016/10/25,收盤價(元),31.58,26.36,54.45,76.68,57.58,83.2,22.64,20.93,59.75,14.23,24.1,13.75,41.55,37.04,7.18,14.7,10.9,19.64,9.75,8.02,15.5,14.57,11.96,49.85,39.25,95.89,10.84,180.21,37.83,226.07,40.57,248.58,59.34,221.95,75.99,11.08,3612.84,10.37,101.89,101.1,67.91,155.51,97.68,86.93,235.4
2016/10/26,收盤價(元),31.67,26.08,54.63,76.68,57.94,84.09,22.59,21.21,59.29,14.14,24.1,13.67,41.6,37.13,7.13,14.62,10.81,19.51,9.75,7.97,15.46,14.4,12.01,50.49,39.34,94.53,10.7,178.81,38.48,223.74,40.01,249.91,59.61,219.81,76.71,11.16,3676.05,10.42,101.89,100.65,68.09,153.66,97.56,85.37,232.12
2016/10/27,收盤價(元),31.67,26.22,53.19,76.59,57.94,82.93,22.64,21.16,58.65,14.1,23.81,13.63,41.69,37.27,7.1,14.53,10.81,19.38,9.71,7.97,15.41,14.36,11.96,50.4,38.66,94.08,10.65,176,38.16,222.35,39.66,249.47,57.81,217.67,76.62,10.95,3612.84,10.23,101.43,99.75,67.82,152.27,97.33,84.46,230.71
2016/10/28,收盤價(元),31.88,26.32,53.82,77.23,58.11,84,22.69,21.07,59.38,14.19,24.05,13.71,41.19,37.41,7.16,14.62,10.9,19.33,9.71,7.97,15.5,14.49,12.05,50.22,39.11,94.53,10.84,176.94,37.88,220.95,39.92,246.8,58.17,218.53,75.54,10.53,3632.29,10.05,100.97,99.75,68.09,155.98,96.65,83.91,230.71
2016/10/31,收盤價(元),31.92,25.94,54.81,77.04,58.29,83.55,22.83,21.26,58.92,14.1,24.01,13.67,41.09,37.55,7.07,14.7,10.95,19.29,9.83,7.95,15.37,14.49,11.96,49.67,38.89,94.98,10.88,176,38.2,223.28,39.44,245.47,57.37,219.81,76.08,10.23,3632.29,9.86,98.69,99.75,67.64,154.13,97.22,84,232.12
2016/11/1,收盤價(元),31.5,25.89,54.54,76.68,57.58,83.64,22.64,21.21,59.75,14.14,23.64,13.71,41.05,37.41,7.07,14.66,10.9,19.24,9.79,7.97,15.46,14.36,11.96,49.76,38.7,93.63,10.88,176.94,37.97,220.95,39.23,244.14,58.08,219.81,75.28,10.44,3549.63,10.23,99.6,98.4,67.82,153.2,96.42,83.45,228.37
2016/11/2,收盤價(元),30.57,25.61,54.45,76.32,57.23,83.29,22.5,20.88,59.11,14.1,23.56,13.63,40.82,36.91,7,14.57,10.81,19.2,9.75,7.92,15.41,14.36,11.96,49.22,38.2,91.83,10.84,173.67,37.13,220.02,38.83,242.81,57.19,218.53,73.66,10.31,3471.83,10.28,98.69,98.4,67.46,152.27,94.14,81.15,214.77
2016/11/3,收盤價(元),30.28,25.42,53.64,76.59,56.78,83.2,22.13,20.93,59.11,14.06,23.35,13.54,39.9,36.49,6.96,14.53,10.53,19.64,9.66,7.86,15.28,14.31,11.92,49.22,37.16,91.38,10.74,172.27,37.32,220.02,38.35,241.92,56.38,212.54,72.5,10.18,3418.34,10.14,99.15,98.4,67.27,151.35,93.12,81.34,211.02
2016/11/4,收盤價(元),30.4,25.42,53.82,76.86,57.23,83.64,22.22,21.07,59.11,14.1,23.31,13.5,40.27,37.04,6.93,14.45,10.76,19.56,9.66,7.85,15.28,14.4,11.83,49.12,37.16,90.48,10.74,172.27,37.27,210.25,38.31,240.59,55.75,214.68,73.13,10.23,3398.89,10.32,98.69,97.49,67.55,151.35,93.46,82.71,208.67
2016/11/7,收盤價(元),31.29,25.52,53.46,77.13,57.49,84.36,22.13,21.39,59.47,14.19,23.52,13.54,40.64,37.32,6.94,14.53,10.85,19.6,9.71,7.87,15.28,14.4,11.88,49.03,37.16,96.34,10.79,176.47,37.32,214.9,38.31,243.25,57.28,216.39,74.47,10.23,3466.97,10.37,99.15,98.85,68.18,152.74,95.17,83.26,215.24
2016/11/8,收盤價(元),31.62,25.75,53.46,77.86,58.11,85.51,22.59,22.09,60.11,14.23,23.73,13.67,40.82,37.36,6.96,14.66,10.85,20.14,9.79,7.93,15.46,14.53,12.01,49.12,37.75,97.24,10.84,176,37.46,212.11,39.49,245.03,57.37,210.83,75.01,10.44,3437.79,10.42,100.52,99.3,68,153.66,94.6,84.27,218.52
2016/11/9,收盤價(元),30.61,25.19,50.68,75.96,57.14,83.11,22.08,21.81,59.02,14.1,23.07,13.41,39.26,35.85,6.78,14.37,10.48,19.64,9.58,7.77,15.09,14.31,11.79,48.67,36.88,94.08,10.65,169.94,35.83,205.14,37.79,238.37,55.21,212.11,73.13,9.8,3248.15,9.91,99.6,97.94,68,147.65,91.64,81.06,207.74
2016/11/10,收盤價(元),32.17,25.71,50.95,77.95,58.56,85.6,22.36,22.93,60.3,14.19,24.01,13.5,41.55,38.01,6.9,14.53,10.85,20.45,9.75,7.84,15.41,14.49,11.88,49.12,37.16,94.98,10.74,173.2,37.5,206.53,39.23,242.81,56.2,217.67,74.29,10.06,3447.52,10.23,99.6,97.94,67,152.27,92.89,83.45,212.89
2016/11/11,收盤價(元),31.62,25.14,49.24,76.68,57.4,84.62,21.85,22.84,55.53,14.06,23.97,13.28,41.97,40.11,6.77,14.45,10.67,20.45,9.62,7.71,15.19,14.31,11.79,48.21,35.83,91.38,10.51,169.47,36.62,200.02,36.66,233.04,51.99,210.83,66.86,9.76,3301.64,10.14,97.78,95.24,65.1,145.33,90.04,76.75,203.05
2016/11/14,收盤價(元),31.25,25.09,48.89,76.77,56.78,84.53,21.43,22.75,54.62,14.06,25,13.28,44.49,42.13,6.77,14.57,10.76,20.76,9.75,7.71,15.28,14.36,11.75,48.49,35.97,89.4,10.47,168.53,36.57,203.28,40.27,233.04,51.72,210.4,64.27,9.67,3189.8,9.95,95.95,95.24,65.82,145.33,90.04,74.55,200.23
2016/11/15,收盤價(元),30.95,25.05,49.33,76.68,57.23,84,21.43,22.75,53.7,14.1,25.41,13.28,43.57,41.17,6.79,14.78,10.67,20.76,9.75,7.73,15.46,14.31,11.79,48.21,36.38,89.58,10.47,168.07,36.15,200.95,40.71,231.71,51.99,210.4,62.66,9.72,3233.57,10,95.03,93.88,64.92,145.33,90.04,74.55,200.7
2016/11/16,收盤價(元),30.82,25,50.41,77.13,57.85,85.42,21.47,22.42,54.98,14.14,25.45,13.33,43.66,41.67,6.82,14.94,10.67,20.58,9.71,7.7,15.41,14.36,11.79,48.12,36.02,89.58,10.47,168.07,36.29,200.95,40.53,231.71,52.26,212.11,64.36,9.72,3291.92,10,96.86,94.78,65.91,144.87,90.04,76.11,199.76
2016/11/17,收盤價(元),30.53,24.53,49.51,77.77,58.47,85.51,21.15,22.65,53.61,14.19,25.83,13.33,43.66,41.12,6.8,14.94,10.71,20.54,9.75,7.68,15.64,14.49,11.83,48.12,35.83,90.03,10.51,169.47,36.39,206.07,40.97,231.71,51.99,212.97,64.71,9.93,3262.74,10.14,96.41,95.69,66.73,144.41,91.86,76.11,200.23
2016/11/18,收盤價(元),30.23,24.53,48.98,77.32,58.03,84.18,21.33,22.42,53.98,14.06,25.87,13.33,43.2,41.26,6.76,14.9,10.57,20.27,9.71,7.63,15.46,14.4,11.83,48.21,35.65,89.58,10.47,169,37.18,211.18,42.62,233.49,52.62,213.82,66.06,9.93,3403.75,10.14,96.41,95.69,66.19,145.33,92.21,76.57,205.86
2016/11/21,收盤價(元),31.03,24.81,48.98,77.95,57.76,84.62,21.47,22.84,53.61,14.14,25.99,13.37,44.12,41.86,6.9,14.94,10.71,20.63,9.71,7.7,15.5,14.44,11.92,48.67,35.83,90.03,10.56,169,37.41,207.46,41.71,235.26,51.99,213.82,65.7,10.01,3403.75,10.32,95.95,95.69,66.91,143.94,92.21,76.11,209.14
2016/11/22,收盤價(元),31.29,25.14,48.98,79.39,58.65,86.22,21.71,22.84,54.07,14.23,26.32,13.37,44.07,41.67,6.95,14.98,10.81,20.76,9.79,7.81,15.55,14.57,11.83,48.94,37.06,93.18,10.56,171.8,37.74,212.58,43.23,238.37,52.7,215.53,66.5,10.01,3413.48,10.18,96.86,95.69,66.46,146.26,92.55,76.66,211.49
2016/11/23,收盤價(元),31.33,25.23,48.89,79.93,59,87.2,21.94,22.93,54.07,14.36,26.28,13.5,43.8,42.22,7.05,14.98,10.81,20.4,9.79,7.87,15.59,14.62,11.92,48.94,36.79,94.53,10.6,173.2,38.76,210.25,42.88,238.37,53.15,218.53,68.47,9.93,3423.2,10.18,98.23,97.04,67,148.57,93.46,77.58,209.14
2016/11/24,收盤價(元),30.99,25.33,49.24,79.84,59,86.49,21.85,23.03,54.25,14.36,26.94,13.54,44.44,42.68,7.2,14.94,10.95,20.72,9.96,7.97,15.68,14.66,11.92,49.31,36.88,94.08,10.51,170.87,41.98,206.53,43.53,236.15,52.44,217.67,66.5,9.84,3418.34,10.09,98.23,96.59,67.09,146.72,92.43,76.39,205.86
2016/11/25,收盤價(元),30.99,24.81,49.33,79.39,58.82,86.85,21.8,23.4,54.43,14.4,27.72,13.63,45.27,44.42,7.15,14.94,10.81,20.58,9.92,7.95,15.68,14.66,11.96,48.94,36.61,94.53,10.51,169.94,40.44,206.07,42.75,236.59,52.53,215.96,67.04,9.93,3471.83,10,98.23,97.04,66.73,146.26,91.75,75.01,208.2
2016/11/28,收盤價(元),31.2,25.56,49.6,80.11,59.45,87.2,22.08,23.82,55.53,14.62,28.38,13.71,45.27,44.42,7.15,15.15,10.9,20.72,9.96,7.97,15.82,14.71,12.13,49.22,36.47,94.08,10.51,171.8,41.52,207.93,42.93,236.15,52.97,219.38,67.94,9.8,3520.45,10,98.23,97.49,66.82,146.26,92.66,75.38,218.99
2016/11/29,收盤價(元),30.87,25.42,49.33,81.1,59.18,87.65,21.94,23.73,54.43,14.54,28.26,13.63,45.36,43.37,7.11,14.98,10.81,20.54,9.96,7.91,15.59,14.62,12.05,48.94,35.88,92.28,10.51,169.94,41.52,206.07,42.93,233.04,52.62,219.38,68.2,9.84,3539.9,10.14,98.23,97.04,66.82,146.26,93.46,77.03,223.68
2016/11/30,收盤價(元),31.08,26.41,48.89,81.92,59.53,88.89,21.94,23.31,54.98,14.89,28.01,13.8,45.36,43,7.1,15.15,10.71,20.31,9.96,7.94,15.82,14.71,12.13,49.49,36.29,96.79,10.42,170.87,41.52,206.07,43.8,234.37,53.24,219.38,67.94,9.76,3588.53,10.18,98.23,97.04,66.91,148.11,93.46,76.66,217.11
2016/12/1,收盤價(元),31.29,26.32,48.89,82.19,60.78,88.54,22.27,23.21,54.8,14.75,29.16,13.75,46.14,44.29,7.16,15.07,10.76,20.45,10,7.97,15.86,14.71,12.09,49.22,36.52,98.59,10.51,170.87,42.22,208.86,43.53,233.49,52.88,218.96,68.47,9.76,3549.63,10.14,97.32,95.24,66.73,146.26,93.92,75.47,222.74
2016/12/2,收盤價(元),31.29,26.22,48.53,82.46,61.04,87.83,22.36,23.31,55.72,14.67,29.24,13.75,46.6,44.01,7.14,14.98,10.71,20.58,10,7.97,15.91,14.79,12.09,49.85,36.11,97.69,10.47,166.2,41.75,209.32,42.93,231.71,52.88,216.82,67.31,9.67,3510.73,10,96.86,95.24,66.46,144.87,93.12,75.93,222.74
2016/12/5,收盤價(元),30.95,25.75,48.44,81.47,60.42,87.02,22.03,23.26,55.44,14.54,29.04,13.63,46.78,44.29,7.08,14.82,10.62,20.36,9.92,7.91,15.86,14.79,12.01,49.49,35.65,96.79,10.37,167.13,41.61,207.93,42.93,232.15,52.7,215.11,66.68,9.84,3481.55,10.18,96.86,95.69,66.37,143.94,92.66,76.02,218.52
2016/12/6,收盤價(元),31.16,26.03,48.44,81.47,61.31,88.09,22.41,23.54,55.62,14.67,28.05,13.71,46.78,44.93,7.16,14.86,10.71,20.76,9.96,7.97,15.91,14.88,12.09,49.85,36.15,99.94,10.56,169.94,41.33,210.25,43.71,233.49,52.62,216.82,68.03,9.8,3573.94,10.18,96.86,95.69,66.37,145.33,93.8,75.84,221.33
2016/12/7,收盤價(元),31.25,26.03,48.44,82.01,61.31,87.74,22.59,23.54,55.35,14.67,27.18,13.8,46.78,44.84,7.15,14.9,10.67,20.76,9.96,7.95,15.95,14.97,12.09,49.76,36.02,99.04,10.51,169.47,41.33,209.32,43.53,235.71,53.06,214.68,67.58,10.06,3646.88,10.51,96.86,95.69,67,145.33,94.71,76.66,218.99
2016/12/8,收盤價(元),32.05,26.41,49.6,82.55,62.64,88,23.15,23.96,55.9,14.93,27.31,14.01,46.96,44.97,7.22,15.23,10.95,20.98,10.13,8.04,16.18,15.19,12.31,50.03,36.84,100.39,10.56,173.2,41.33,213.97,43.97,237.04,53.06,218.96,68.38,10.23,3646.88,10.55,96.86,96.59,66.73,150.42,96.65,78.4,219.46
2016/12/9,收盤價(元),32,26.41,49.96,82.91,63.62,88.09,23.15,23.82,55.62,14.84,26.24,14.05,47.24,45.3,7.28,15.31,11.13,21.21,10.13,8.06,16.27,15.19,12.35,50.13,37.2,102.19,10.51,173.67,42.26,214.44,43.53,235.26,53.33,221.52,68.74,10.14,3627.43,10.42,95.95,95.24,66.64,150.89,96.88,78.86,218.99
2016/12/12,收盤價(元),31.96,26.46,49.69,82.91,64.33,87.91,23.25,23.91,55.9,14.8,26.69,14.05,47.15,45.3,7.24,15.23,11.04,21.21,10.17,8.06,16.18,15.14,12.35,50.31,37.11,99.94,10.47,172.74,43.85,213.51,43.53,236.59,54.5,219.38,67.58,10.01,3632.29,10.46,95.95,94.78,65.73,149.96,95.05,78.5,220.87
2016/12/13,收盤價(元),31.92,26.18,49.24,82.01,64.24,87.91,23.25,23.96,55.72,14.93,26.69,14.09,47.97,45.52,7.3,15.31,11.18,21.16,10.22,8.11,16.27,15.32,12.35,50.49,37.61,102.19,10.47,173.67,43.66,212.58,43.53,237.04,54.23,215.53,67.67,10.01,3646.88,10.42,95.49,94.78,65.55,149.5,96.19,79.05,220.4
2016/12/14,收盤價(元),31.79,26.32,49.24,81.19,63.7,87.74,23.01,23.91,55.44,14.8,25.78,13.97,47.24,44.61,7.26,15.11,11.13,20.89,10.17,8.01,16.13,15.19,12.26,50.4,37.52,100.39,10.37,175.07,44.22,209.32,43.53,236.15,54.68,215.53,68.38,9.97,3632.29,10.46,95.49,93.88,65.28,150.89,95.4,79.5,221.8
2016/12/15,收盤價(元),31.25,26.41,47.81,80.11,62.02,86.85,22.83,23.82,55.44,14.8,27.02,14.01,48.62,45.66,7.29,15.19,11.08,20.89,10.22,8.06,16.27,15.1,12.26,49.85,37.16,98.59,10.47,174.6,44.32,212.11,43.97,236.59,54.68,214.68,67.49,10.14,3593.39,10.69,95.03,93.88,65.19,148.11,95.97,79.14,224.15
2016/12/16,收盤價(元),30.91,25.94,47.81,80.65,63.79,86.58,22.73,23.54,54.34,14.84,27.18,13.92,48.52,45.85,7.23,15.11,11.13,21.21,10.13,7.98,16.27,15.06,12.13,49.94,36.7,98.59,10.47,172.74,45.25,210.25,42.84,235.26,53.33,213.82,68.29,10.14,3646.88,10.69,94.12,92.98,64.92,145.33,95.28,78.22,220.87
2016/12/19,收盤價(元),30.36,25.47,47.81,79.75,64.33,85.42,22.45,23.26,55.53,14.75,26.28,13.88,48.52,44.93,7.21,14.94,11.04,20.89,10.05,7.89,16.13,14.97,12.09,50.03,36.47,98.59,10.47,170.4,44.5,208.39,42.4,233.93,53.51,212.11,67.22,10.01,3564.22,10.6,92.75,92.53,64.74,145.79,94.37,76.75,215.24
2016/12/20,收盤價(元),30.57,25.56,47.54,80.02,64.33,86.13,22.73,23.82,54.62,14.84,26.4,13.84,48.52,44.93,7.19,14.98,11.04,20.81,10.05,7.89,16.09,14.92,12.09,49.58,36.24,96.79,10.47,170.4,44.5,204.21,42.84,233.93,53.24,215.11,68.47,10.1,3520.45,10.74,92.75,93.43,64.46,146.72,95.4,76.66,212.89
2016/12/21,收盤價(元),30.28,25.23,47.54,80.29,64.5,86.4,22.78,23.49,54.52,14.84,26.36,13.8,48.16,44.52,7.18,14.94,10.95,20.67,10.05,7.88,16,14.88,12.05,49.49,36.15,95.89,10.47,168.07,44.27,201.41,42.19,233.93,52.88,212.97,68.92,10.31,3539.9,10.92,92.29,92.08,64.55,147.65,94.94,76.75,211.02
2016/12/22,收盤價(元),29.52,24.86,47.18,78.58,63.17,84.09,22.55,23.21,54.25,14.67,26.24,13.67,46.05,42.91,7.12,14.86,10.85,20.54,9.92,7.85,15.86,14.75,12.01,49.49,35.93,94.98,10.47,167.13,45.2,201.88,42.14,233.49,52.79,212.97,68.29,10.27,3501,10.88,92.29,92.53,64.55,144.41,94.37,76.11,206.33
2016/12/23,收盤價(元),28.97,24.67,46.82,77.68,62.46,82.93,22.41,22.93,54.07,14.58,25.95,13.63,45.68,43.09,7.11,14.78,10.85,20.45,9.96,7.81,15.77,14.71,11.96,49.49,35.65,94.53,10.47,166.67,46.23,201.41,41.36,234.37,52.35,211.69,68.12,10.23,3452.38,10.79,92.29,92.08,63.92,143.48,94.26,75.84,207.74
2016/12/26,收盤價(元),28.88,24.72,47.27,77.95,62.64,83.82,22.22,22.75,54.43,14.75,26.11,13.71,46.6,44.06,7.11,14.9,10.9,20.54,10,7.87,15.86,14.84,12.05,49.58,36.06,94.53,10.47,167.6,45.48,200.95,41.53,234.37,52.88,211.69,68.03,10.14,3471.83,10.74,92.29,92.08,64.19,143.94,94.94,76.11,207.74
2016/12/27,收盤價(元),28.76,24.76,47.54,77.95,62.2,83.2,22.17,22.61,54.62,14.75,26.11,13.71,45.96,43.64,7.11,14.82,10.85,20.4,9.96,7.84,15.82,14.84,12.01,49.58,36.02,95.44,10.47,168.07,44.78,202.81,41.31,234.82,52.97,212.11,68.38,10.1,3491.28,10.65,92.29,92.08,64.28,143.48,95.17,77.03,209.14
2016/12/28,收盤價(元),29.09,24.91,47.45,79.84,62.99,84.8,22.45,23.07,54.98,14.84,26.61,13.84,46.69,44.61,7.15,14.94,10.99,20.54,9.92,7.9,15.91,15.01,12.13,49.76,36.34,97.24,10.51,169.94,45.53,203.28,41.79,234.37,53.87,212.97,69.1,10.14,3622.57,10.79,92.75,91.62,64.46,145.79,95.74,77.94,210.08
2016/12/29,收盤價(元),28.84,24.67,47.36,78.85,62.99,84.27,22.31,22.84,55.26,14.84,25.99,13.71,46.05,43.92,7.11,14.86,10.95,20.36,9.92,7.84,15.86,14.92,12.05,49.49,36.34,95.89,10.47,168.07,45.01,201.41,41.45,233.49,53.51,210.83,68.56,10.01,3622.57,10.69,92.75,92.08,64.65,145.33,95.28,77.94,207.27
2016/12/30,收盤價(元),29.64,24.81,47.9,80.47,63.17,85.69,22.59,22.98,55.72,14.97,26.4,13.84,46.78,44.2,7.2,15.03,11.13,20.54,10.05,7.92,15.95,15.06,12.13,50.13,36.61,100.84,10.56,169.47,45.06,201.41,42.32,235.26,54.05,217.67,68.92,10.06,3685.78,10.74,92.75,93.88,65.73,147.65,95.97,78.22,210.08
2017/1/3,收盤價(元),29.64,24.95,47.81,81.28,63.17,86.58,22.69,22.79,56.27,14.93,26.28,13.84,47.15,44.01,7.2,15.07,11.08,20.63,10.05,7.91,16,15.01,12.13,50.22,36.75,98.59,10.56,170.87,44.08,202.81,41.84,237.04,53.78,215.96,70.17,10.23,3690.64,11.2,93.66,94.33,65.01,146.72,96.08,78.4,211.49
2017/1/4,收盤價(元),29.73,24.81,47.54,81.47,63.62,86.49,22.64,23.03,56.54,14.84,26.28,13.8,46.87,43.92,7.2,15.07,11.08,20.94,10.05,7.89,16.09,15.1,12.13,50.49,37.2,98.59,10.51,170.87,44.46,200.95,43.14,237.04,53.78,213.82,70.89,10.18,3676.05,11.25,94.58,96.14,66.01,145.79,95.97,78.4,210.08
2017/1/5,收盤價(元),29.73,24.95,48.53,81.56,65.12,87.2,23.01,23.17,56.54,14.93,26.36,13.92,47.15,44.38,7.23,15.11,11.18,21.12,10.13,7.97,16.27,15.23,12.22,50.67,37.34,99.94,10.56,171.34,45.15,202.81,42.62,238.81,53.78,216.39,69.82,10.44,3938.63,11.62,95.49,97.04,66.46,147.18,95.74,78.22,207.74
2017/1/6,收盤價(元),29.73,24.95,48.53,81.65,65.12,86.94,23.11,23.03,57.37,14.97,25.91,13.97,47.33,44.7,7.2,15.15,11.18,21.16,10.17,8,16.27,15.23,12.22,50.67,37.47,98.14,10.74,171.8,45.48,204.67,42.66,239.7,54.14,219.81,69.82,10.7,4031.02,11.99,94.12,95.69,66.46,149.5,95.51,77.94,209.14
